Course Id	Section Number	Title	Department	Program	Year	Semester	Instructor					
I 0600 2PR	18936	Fundamental Algorithms	Computer Science	M.Sc. Computer Science	2023	Fall	Rosario Gennaro					
I 1000  3HJ	14775	Database Systems I	Computer Science	M.Sc. Computer Science	2023	Fall	Kumud Majumder					
I 4490  1HJ	12950	Adversarial Artificial Intelligence	Computer Science	M.Sc. Computer Science	2023	Fall	Allison Bishop					
I 6716  1FG	14906	Computer Vision	Computer Science	M.Sc. Computer Science	2023	Fall	Zhigang Zhu					
I 9800  Q1	20141	Project	Computer Science	M.Sc. Computer Science	2023	Fall	Ihab Darwish					
I 1020  4RR	14899	Introduction to Data Science	Computer Science	M.Sc. Data Science and Engineering	2023	Fall	Michael Grossberg					
I 1030  2RR	14900	Applied Statistics	Computer Science	M.Sc. Data Science and Engineering	2023	Fall	Irina Gkadkoca					
I 2400  3FG	14901	Data Analytics	Computer Science	M.Sc. Data Science and Engineering	2023	Fall	Ronak Etemadpour					
I 9800  4RR	19363	Capstone Project	Computer Science	M.Sc. Data Science and Engineering	2023	Fall	Zhigang Zhu					
I 9900 4RR	19364	Capstone Thesis	Computer Science	M.Sc. Data Science and Engineering	2023	Fall	Zhigang Zhu					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
